metric,group,n,feeds_mean,comp_val,delta,t,p_ttest,p_wilcoxon,favored
Dice,PROSTATE_CANCER,100,0.6711876792324533,0.6885900242169253,-0.017402344984471765,-1.9767887026964752,0.050847225307870406,0.003358216699623377,comparator
FPVol,PROSTATE_CANCER,100,2.5617939814552666,4.2532675017789,-1.6914735203236342,-3.1167612471548667,0.0023934141564846954,1.9970332664742885e-12,FEEDS
FNVol,PROSTATE_CANCER,100,12.015680272229947,10.596022368953562,1.419657903276384,1.7611281531672234,0.08130431207001523,0.13824515465414566,comparator
