dataset,metric,metric_col,diagnosis,n,feeds,random_mean,random_sd,delta,p_wilcoxon,p_ttest,favored,ni_p,ni_pass,p_wilcoxon_fdr_bh,sig_fdr_bh
AutoPET,Dice,Dice,Lung Cancer,35,0.7255350817533225,0.7350015448407152,0.03534321551112153,-0.009466463087392817,0.3340676475673736,0.3051751922149482,comparator,0.3316094636184074,False,0.4469072792195621,False
AutoPET,Dice,Dice,Lymphoma,30,0.6858610199258862,0.6557086044535031,0.08123938213076118,0.03015241547238325,0.04320018979244315,0.11364259040684638,FEEDS,0.6986275655371279,False,0.12960056937732947,False
AutoPET,Dice,Dice,Melanoma,32,0.6560703749219474,0.6528145043215967,0.07458657428709355,0.0032558706003507076,0.5999359281677457,0.8940243338953513,FEEDS,0.13000385357894265,False,0.5999359281677457,False
AutoPET,Dice,Dice,Prostate Cancer,110,0.5441896340384805,0.5516070531456326,0.05765244024161476,-0.007417419107152146,0.33507290969389414,0.4081467506741846,comparator,0.6990710296078604,False,0.4469072792195621,False
AutoPET,FP Vol,false_pos_vol,Lung Cancer,35,1.9624822598748974,3.298719048739544,3.589084454079281,-1.3362367888646467,0.0028511930689508916,0.12052684321208737,FEEDS,0.0006429949535039812,True,0.0039916702965312485,True
AutoPET,FP Vol,false_pos_vol,Lymphoma,30,2.1527114012278616,4.334368912223726,2.1785919247690737,-2.1816575109958647,0.0003800932317972183,0.03902596954174297,FEEDS,1.9077153207627035e-07,True,0.0006651631556451321,True
AutoPET,FP Vol,false_pos_vol,Melanoma,32,4.070546686125454,5.093276400788454,2.8691272127475105,-1.0227297146630008,0.006478707771748304,0.12033665262907157,FEEDS,0.001147230562611219,True,0.007558492400373022,True
AutoPET,FP Vol,false_pos_vol,Negative,102,5.604558165513856,8.109204107128521,4.9153135526997245,-2.5046459416146662,6.357151122786728e-15,0.0011081408789332832,FEEDS,1.0794995244251135e-08,True,2.225002892975355e-14,True
AutoPET,FP Vol,false_pos_vol,Prostate Cancer,122,10.496115390012864,10.173163731472535,2.952886876347992,0.32295165854032903,2.3096688870311908e-07,0.7215105980803489,comparator,0.0086179662151628,True,5.389227403072779e-07,True
AutoPET,FN Vol,false_neg_vol,Lung Cancer,35,14.135843961366586,15.014464437722095,3.6430703634030426,-0.8786204763555101,0.012468499505409927,0.7780828064559413,FEEDS,0.5527386983804845,False,0.07481099703245957,False
AutoPET,FN Vol,false_neg_vol,Lymphoma,30,6.788235971238464,8.406729913968594,4.523112602182608,-1.6184939427301288,0.9584199496651095,0.400926909104814,FEEDS,0.3200048421505687,False,0.9584199496651095,False
AutoPET,FN Vol,false_neg_vol,Melanoma,32,3.1316383530793246,3.0354537064558826,0.9804861154745107,0.09618464662344195,0.14853614643738033,0.5200076932200813,comparator,3.3253521365848555e-11,True,0.24155521927701679,False
AutoPET,FN Vol,false_neg_vol,Prostate Cancer,110,13.820625023797831,15.131981936249543,2.944759177022443,-1.3113569124517113,0.1150796236543619,0.04158941549738411,FEEDS,0.6381092344268027,False,0.24155521927701679,False
DeepPSMA,Dice,Dice,Pooled,200,0.6447650433011031,0.6534315594201824,0.0601610931099974,-0.008666516119079409,0.37242273268296844,0.2005228563605632,comparator,0.00870824773730161,True,0.4469072792195621,False
DeepPSMA,FP Vol,false_pos_vol,Pooled,200,3.3893759741541,5.556364184892736,4.086445999286493,-2.1669882107386367,9.64427918629118e-19,1.2009689618192526e-06,FEEDS,2.8365367392708132e-15,True,6.750995430403826e-18,True
DeepPSMA,FN Vol,false_neg_vol,Pooled,200,14.978832189275417,17.069287784686313,5.566789386076551,-2.090455595410894,0.16103681285134452,0.05166060916514175,FEEDS,0.9810860320544473,False,0.24155521927701679,False
DH,Dice,Dice,Pooled,23,0.5344198602076756,0.4914552940964345,0.05359343119420852,0.04296456611124113,0.008262157440185547,0.013694292151393313,FEEDS,0.0004263564555977712,True,0.04957294464111328,True
DH,FP Vol,false_pos_vol,Pooled,23,19.0806121442305,23.282582026671456,11.777424713043638,-4.201969882440956,0.027674198150634766,0.27335452739055077,FEEDS,0.04508350516118505,True,0.027674198150634766,True
DH,FN Vol,false_neg_vol,Pooled,23,2.7208572323231595,2.889170163027618,0.3643810399927416,-0.1683129307044589,0.789675102094056,0.27625155644706345,FEEDS,1.4488403414288756e-07,True,0.9476101225128671,False
