metric,group,n,margin,feeds_mean,ref_val,delta,t_ni,p_noninf,noninferior
Dice,PROSTATE_CANCER,100,0.1,0.6711876792324533,0.6901676376758588,-0.018979958443405096,8.614426634310595,5.692165372375472e-14,True
FPVol,PROSTATE_CANCER,100,5.0,2.5617939814552666,3.3046948132291436,-0.7429008317738771,-9.218653137264212,2.7683608021739537e-15,True
FNVol,PROSTATE_CANCER,100,5.0,12.015680272229947,15.88017466512043,-3.8644943928904834,-4.286019559188423,2.1128466828395823e-05,True
