metric,group,n,feeds_mean,comp_val,delta,t,p_ttest,p_wilcoxon,favored,p_wilcoxon_holm,p_ttest_holm,p_wilcoxon_fdr_bh,p_ttest_fdr_bh
Dice,FDG,100,0.6183424073697527,0.6204166738242085,-0.0020742664544559698,-0.1929008066078448,0.8474318337995307,0.23689486386690062,comparator,0.23689486386690062,0.8474318337995307,0.23689486386690062,0.8474318337995307
Dice,PSMA,100,0.6711876792324533,0.6864464450161561,-0.01525876578370285,-1.8704032909303665,0.06438194080534913,0.005762911416070182,comparator,0.011525822832140363,0.12876388161069827,0.011525822832140363,0.12876388161069827
FPVol,FDG,100,4.216957966852934,5.352705218888819,-1.1357472520358862,-1.9512821681147916,0.05384985906515154,6.786160923699553e-06,FEEDS,6.786160923699553e-06,0.05384985906515154,6.786160923699553e-06,0.05384985906515154
FPVol,PSMA,100,2.5617939814552666,5.760023150896654,-3.1982291694413862,-5.108194541852799,1.5817589772454155e-06,3.415659060555646e-14,FEEDS,6.831318121111293e-14,3.163517954490831e-06,6.831318121111293e-14,3.163517954490831e-06
FNVol,FDG,100,17.941984106320888,23.280407236769793,-5.338423130448907,-2.7281952666183615,0.007535794079445905,0.0053957184395188205,FEEDS,0.010791436879037641,0.01507158815889181,0.010791436879037641,0.01507158815889181
FNVol,PSMA,100,12.015680272229947,10.85816833260283,1.1575119396271187,1.572566357947851,0.11900984690455273,0.357290048537263,comparator,0.357290048537263,0.11900984690455273,0.357290048537263,0.11900984690455273
