metric,group,n,feeds_mean,comp_val,delta,t,p_ttest,p_wilcoxon,favored,p_wilcoxon_holm,p_ttest_holm,p_wilcoxon_fdr_bh,p_ttest_fdr_bh
Dice,FDG,100,0.6183424073697527,0.628478829766727,-0.010136422396974423,-0.7920182242414885,0.4302437484446866,0.5155330883207441,comparator,0.5155330883207441,0.4302437484446866,0.5155330883207441,0.4302437484446866
Dice,PSMA,100,0.6711876792324533,0.6885900242169253,-0.017402344984471765,-1.9767887026964752,0.050847225307870406,0.003358216699623377,comparator,0.006716433399246754,0.10169445061574081,0.006716433399246754,0.10169445061574081
FPVol,FDG,100,4.216957966852934,4.604043412692845,-0.3870854458399117,-0.5746101355149074,0.566858449538254,0.036670992429167854,FEEDS,0.036670992429167854,0.566858449538254,0.036670992429167854,0.566858449538254
FPVol,PSMA,100,2.5617939814552666,4.2532675017789,-1.6914735203236342,-3.1167612471548667,0.0023934141564846954,1.9970332664742885e-12,FEEDS,3.994066532948577e-12,0.004786828312969391,3.994066532948577e-12,0.004786828312969391
FNVol,FDG,100,17.941984106320888,22.4984835652262,-4.55649945890531,-2.396964209539089,0.018407987269252652,0.0008895766098858209,FEEDS,0.0017791532197716418,0.036815974538505304,0.0017791532197716418,0.036815974538505304
FNVol,PSMA,100,12.015680272229947,10.596022368953562,1.419657903276384,1.7611281531672234,0.08130431207001523,0.13824515465414566,comparator,0.13824515465414566,0.08130431207001523,0.13824515465414566,0.08130431207001523
