metric,group,n,margin,feeds_mean,ref_val,delta,t_ni,p_noninf,noninferior
Dice,ALL,200,0.1,0.6447650433011031,0.647451318712786,-0.002686275411682979,10.340089213549204,1.2403414197938116e-20,True
FPVol,ALL,200,5.0,3.3893759741541,4.379677579430863,-0.9903016052767635,-12.495688172025437,3.958388720982194e-27,True
FNVol,ALL,200,5.0,14.978832189275417,20.352169752263,-5.373337562987581,-7.006454919797566,1.8474516333382507e-11,True
