metric,group,n,feeds_mean,comp_val,delta,t,p_ttest,p_wilcoxon,favored
Dice,ALL,200,0.6447650433011031,0.6534315594201824,-0.008666516119079409,-1.2843208660811567,0.2005228563605632,0.37242273268296844,comparator
FPVol,ALL,200,3.3893759741541,5.556364184892736,-2.1669882107386367,-5.009502243637968,1.2009689618192526e-06,9.64427918629118e-19,FEEDS
FNVol,ALL,200,14.978832189275417,17.069287784686313,-2.090455595410894,-1.95772262653754,0.05166060916514175,0.16103681285134452,FEEDS
