metric,group,n,margin,feeds_mean,ref_val,delta,t_ni,p_noninf,noninferior,p_noninf_holm,noninferior_holm,p_noninf_fdr_bh,noninferior_fdr_bh
Dice,FDG,100,0.1,0.6183424073697527,0.6047349997497135,0.013607407620039133,7.015214170043741,1.4393652387041322e-10,True,1.4393652387041322e-10,True,1.4393652387041322e-10,True
Dice,PSMA,100,0.1,0.6711876792324533,0.6901676376758588,-0.018979958443405096,8.614426634310595,5.692165372375472e-14,True,1.1384330744750945e-13,True,1.1384330744750945e-13,True
FPVol,FDG,100,5.0,4.216957966852934,5.454660345632583,-1.2377023787796497,-8.531379651315419,8.610806495072415e-14,True,8.610806495072415e-14,True,8.610806495072415e-14,True
FPVol,PSMA,100,5.0,2.5617939814552666,3.3046948132291436,-0.7429008317738771,-9.218653137264212,2.7683608021739537e-15,True,5.536721604347907e-15,True,5.536721604347907e-15,True
FNVol,FDG,100,5.0,17.941984106320888,24.824164839405565,-6.882180733084678,-5.608364710386518,9.270402563777945e-08,True,1.854080512755589e-07,True,1.854080512755589e-07,True
FNVol,PSMA,100,5.0,12.015680272229947,15.88017466512043,-3.8644943928904834,-4.286019559188423,2.1128466828395823e-05,True,2.1128466828395823e-05,True,2.1128466828395823e-05,True
